Start Time: 10/6/25, 2:35 PM
RDT Sample Rate: 500
"PLEASE NOTE: The sample rate is read from the Net F/T when the program starts.  If you have changed the sample rate since the program started, this will be incorrect."
Force Units: N
Counts per Unit Force: 1000000.0
Torque Units: Nm
Counts per Unit Torque: 1000000.0
Status (hex), RDT Sequence, F/T Sequence, Fx, Fy, Fz, Tx, Ty, Tz, Time
"0x0","1","1785398335","-0.041302","-0.013882","0.0151","4.3E-5","6.09E-4","-0.00156","Oct 6, 2025, 2:35:10 PM"
"0x0","2","1785398349","-0.050137","0.001443","0.014787","4.46E-4","3.22E-4","-0.001556","Oct 6, 2025, 2:35:10 PM"
"0x0","3","1785398363","-0.050611","0.00584","0.029671","7.18E-4","0.001209","-0.001683","Oct 6, 2025, 2:35:10 PM"
"0x0","4","1785398377","-0.051629","-0.00423","0.045121","0.00147","0.00174","-0.001401","Oct 6, 2025, 2:35:10 PM"
"0x0","5","1785398391","-0.066323","-0.012466","0.037974","2.76E-4","-2.4E-4","-0.001918","Oct 6, 2025, 2:35:10 PM"
"0x0","6","1785398405","-0.041922","-0.00857","0.045303","7.63E-4","4.81E-4","-0.001673","Oct 6, 2025, 2:35:10 PM"
"0x0","7","1785398419","-0.054575","-0.011078","0.007345","7.3E-4","8.9E-4","-0.001825","Oct 6, 2025, 2:35:10 PM"
"0x0","8","1785398433","-0.076018","-0.027273","-0.014893","0.001405","4.0E-4","-0.00195","Oct 6, 2025, 2:35:10 PM"
"0x0","9","1785398447","-0.050021","-0.00389","0.014919","1.63E-4","7.08E-4","-0.00142","Oct 6, 2025, 2:35:10 PM"
"0x0","10","1785398461","-0.037508","-0.001047","-4.19E-4","6.35E-4","4.4E-5","-0.001714","Oct 6, 2025, 2:35:10 PM"
"0x0","11","1785398475","-0.050513","0.006732","0.007035","9.47E-4","6.7E-5","-0.001698","Oct 6, 2025, 2:35:10 PM"
"0x0","12","1785398489","-0.050207","-0.013633","0.015114","4.82E-4","7.16E-4","-0.001552","Oct 6, 2025, 2:35:10 PM"
"0x0","13","1785398503","-0.045702","-0.010845","0.007584","2.98E-4","2.8E-5","-0.001426","Oct 6, 2025, 2:35:10 PM"
"0x0","14","1785398517","-0.041964","-0.00425","0.052432","8.14E-4","0.001484","-0.00221","Oct 6, 2025, 2:35:10 PM"
"0x0","15","1785398531","-0.05988","-0.008465","0.037664","0.001636","0.001205","-0.001665","Oct 6, 2025, 2:35:10 PM"
"0x0","16","1785398545","-0.050684","0.010641","0.037053","7.76E-4","0.001457","-0.001814","Oct 6, 2025, 2:35:10 PM"
"0x0","17","1785398559","-0.058926","-0.018536","0.007699","6.4E-4","9.55E-4","-0.001414","Oct 6, 2025, 2:35:10 PM"
"0x0","18","1785398573","-0.050175","7.81E-4","0.022094","4.37E-4","0.001331","-0.001957","Oct 6, 2025, 2:35:10 PM"
"0x0","19","1785398587","-0.050043","0.016004","-0.008581","4.03E-4","6.85E-4","-0.001984","Oct 6, 2025, 2:35:10 PM"
"0x0","20","1785398601","-0.058742","-0.00871","0.022524","5.4E-4","0.001066","-0.001675","Oct 6, 2025, 2:35:10 PM"
"0x0","21","1785398615","-0.050404","-0.003532","-4.23E-4","8.22E-4","5.8E-4","-0.001837","Oct 6, 2025, 2:35:10 PM"
"0x0","22","1785398629","-0.055121","0.002936","-6.07E-4","6.82E-4","0.00178","-0.001434","Oct 6, 2025, 2:35:10 PM"
"0x0","23","1785398643","-0.054401","0.003614","-0.015816","4.71E-4","8.77E-4","-0.001847","Oct 6, 2025, 2:35:10 PM"
"0x0","24","1785398657","-0.0471","-0.006855","0.029748","0.001438","0.001934","-0.001956","Oct 6, 2025, 2:35:10 PM"
"0x0","25","1785398671","-0.04646","0.018301","-0.02385","8.68E-4","8.97E-4","-0.001867","Oct 6, 2025, 2:35:10 PM"
"0x0","26","1785398685","-0.041612","-0.00343","-3.91E-4","6.06E-4","9.4E-5","-0.001844","Oct 6, 2025, 2:35:10 PM"
"0x0","27","1785398699","-0.05919","-0.013597","-9.9E-5","9.18E-4","0.001079","-0.001557","Oct 6, 2025, 2:35:10 PM"
"0x0","28","1785398713","-0.050077","0.001673","-5.41E-4","6.66E-4","1.89E-4","-0.001972","Oct 6, 2025, 2:35:10 PM"
"0x0","29","1785398727","-0.049946","0.001305","0.029968","2.26E-4","4.46E-4","-0.001544","Oct 6, 2025, 2:35:10 PM"
"0x0","30","1785398741","-0.063537","0.003753","0.014901","6.92E-4","8.71E-4","-0.001007","Oct 6, 2025, 2:35:10 PM"
"0x0","31","1785398755","-0.058613","0.006596","0.006869","7.25E-4","5.39E-4","-0.002095","Oct 6, 2025, 2:35:10 PM"
"0x0","32","1785398769","-0.045592","-0.011113","0.022558","2.94E-4","5.27E-4","-0.00182","Oct 6, 2025, 2:35:10 PM"
"0x0","33","1785398783","-0.058672","-0.008529","0.014964","5.43E-4","8.12E-4","-0.00168","Oct 6, 2025, 2:35:10 PM"
"0x0","34","1785398797","-0.052154","6.66E-4","0.029702","0.001966","0.001995","-0.00155","Oct 6, 2025, 2:35:10 PM"
"0x0","35","1785398811","-0.067284","-0.003903","-0.007873","3.79E-4","0.001299","-0.001423","Oct 6, 2025, 2:35:10 PM"
"0x0","36","1785398825","-0.041998","0.006029","0.02229","5.03E-4","4.78E-4","-0.001291","Oct 6, 2025, 2:35:10 PM"
"0x0","37","1785398839","-0.065917","-0.013338","0.030275","-3.91E-4","6.44E-4","-0.001927","Oct 6, 2025, 2:35:10 PM"
"0x0","38","1785398853","-0.054054","-0.010992","0.022585","2.95E-4","6.29E-4","-0.001812","Oct 6, 2025, 2:35:10 PM"
"0x0","39","1785398867","-0.054561","-0.001214","0.022524","4.14E-4","6.35E-4","-0.001276","Oct 6, 2025, 2:35:10 PM"
"0x0","40","1785398881","-0.045881","-0.00697","0.014815","1.26E-4","0.00142","-0.001561","Oct 6, 2025, 2:35:10 PM"
"0x0","41","1785398895","-0.063033","-0.015938","0.00755","6.71E-4","9.98E-4","-0.00168","Oct 6, 2025, 2:35:10 PM"
"0x0","42","1785398909","-0.044926","-0.021939","4.8E-5","-7.11E-4","0.001295","-0.001567","Oct 6, 2025, 2:35:10 PM"
"0x0","43","1785398923","-0.058381","-0.004069","0.007133","1.59E-4","0.001311","-0.001824","Oct 6, 2025, 2:35:10 PM"
"0x0","44","1785398937","-0.05566","-0.011414","0.037767","0.001383","0.001542","-0.001399","Oct 6, 2025, 2:35:10 PM"
"0x0","45","1785398951","-0.062819","-0.025276","2.44E-4","7.76E-4","3.67E-4","-0.001816","Oct 6, 2025, 2:35:10 PM"
"0x0","46","1785398965","-0.06329","-0.006067","0.007342","7.91E-4","9.95E-4","-0.001549","Oct 6, 2025, 2:35:10 PM"
"0x0","47","1785398979","-0.061767","-0.016468","0.037939","-6.46E-4","0.001235","-0.001656","Oct 6, 2025, 2:35:10 PM"
"0x0","48","1785398993","-0.045926","-0.006355","0.02232","5.7E-4","9.05E-4","-0.001958","Oct 6, 2025, 2:35:10 PM"
"0x0","49","1785399007","-0.050604","-0.004124","0.030027","5.97E-4","0.001222","-0.00141","Oct 6, 2025, 2:35:10 PM"
"0x0","50","1785399021","-0.071492","-0.020797","0.007756","6.11E-4","0.001106","-0.001536","Oct 6, 2025, 2:35:10 PM"
"0x0","51","1785399035","-0.054891","-0.016333","0.015231","6.68E-4","0.00116","-0.001279","Oct 6, 2025, 2:35:10 PM"
"0x0","52","1785399049","-0.054497","-0.010864","0.022572","7.33E-4","6.34E-4","-0.001812","Oct 6, 2025, 2:35:10 PM"
"0x0","53","1785399063","-0.058011","-0.008083","0.015083","1.11E-4","4.3E-5","-0.001678","Oct 6, 2025, 2:35:10 PM"
"0x0","54","1785399077","-0.068369","-0.02395","0.045533","0.001447","0.002335","-0.001649","Oct 6, 2025, 2:35:10 PM"
"0x0","55","1785399091","-0.041246","0.006225","0.006827","2.85E-4","3.3E-4","-0.002111","Oct 6, 2025, 2:35:10 PM"
"0x0","56","1785399105","-0.045771","-0.015925","0.030343","4.54E-4","4.08E-4","-0.001678","Oct 6, 2025, 2:35:10 PM"
"0x0","57","1785399119","-0.041853","2.98E-4","0.037188","4.32E-4","0.001738","-0.001955","Oct 6, 2025, 2:35:10 PM"
"0x0","58","1785399133","-0.082837","-0.018076","0.030508","-4.5E-4","8.54E-4","-0.001774","Oct 6, 2025, 2:35:10 PM"
"0x0","59","1785399147","-0.050548","0.015983","0.021754","8.4E-4","9.43E-4","-0.001961","Oct 6, 2025, 2:35:10 PM"
"0x0","60","1785399161","-0.067893","-0.013535","0.022864","9.19E-4","0.001189","-0.001127","Oct 6, 2025, 2:35:10 PM"
"0x0","61","1785399175","-0.033167","-0.004314","0.022425","1.6E-4","7.58E-4","-0.001432","Oct 6, 2025, 2:35:10 PM"
"0x0","62","1785399189","-0.049582","9.64E-4","0.014755","-2.15E-4","6.97E-4","-0.001556","Oct 6, 2025, 2:35:10 PM"
"0x0","63","1785399203","-0.049627","0.006477","0.007062","7.0E-5","5.7E-5","-0.001697","Oct 6, 2025, 2:35:10 PM"
"0x0","64","1785399217","-0.083013","-0.032685","0.068689","2.8E-5","9.86E-4","-0.002144","Oct 6, 2025, 2:35:10 PM"
"0x0","65","1785399231","-0.059212","-0.004479","0.007368","3.74E-4","0.001714","-0.001017","Oct 6, 2025, 2:35:10 PM"
"0x0","66","1785399245","-0.045889","0.002994","0.014459","2.46E-4","0.001407","-0.001833","Oct 6, 2025, 2:35:10 PM"
"0x0","67","1785399259","-0.041747","-0.003957","-0.015309","1.64E-4","3.63E-4","-0.001048","Oct 6, 2025, 2:35:10 PM"
