ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_roll(rad),tag_pitch(rad),tag_yaw(rad),tag_tx(m),tag_ty(m),tag_tz(m),fw_contact,ft_trigger
1765831618.400269,0.00496,0.01514,0.00401,0.00012,0.00009,-0.00003,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,1,0,-3.07489,0.01604,0.02517,0.10469,0.06084,0.76176,0,0
1765831618.402275,-0.00299,0.00042,-0.01074,-0.00028,0.00008,-0.00002,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,1,0,-3.07489,0.01604,0.02517,0.10469,0.06084,0.76176,0,0
1765831618.404248,-0.00345,-0.00030,-0.00293,-0.00051,0.00073,0.00079,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,1,0,-3.07489,0.01604,0.02517,0.10469,0.06084,0.76176,0,0
1765831618.406245,0.00514,0.01497,-0.00359,-0.00011,0.00022,-0.00003,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,1,0,-3.07489,0.01604,0.02517,0.10469,0.06084,0.76176,0,0
1765831618.408259,-0.00648,-0.01151,0.05792,-0.00065,-0.00026,-0.00023,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,1,0,-3.07489,0.01604,0.02517,0.10469,0.06084,0.76176,0,0
1765831618.410266,0.00925,0.00739,-0.00327,-0.00020,0.00018,0.00037,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,1,0,-3.07489,0.01604,0.02517,0.10469,0.06084,0.76176,0,0
1765831618.412252,0.00522,0.00518,-0.01080,-0.00022,-0.00002,0.00024,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,1,0,-3.07489,0.01604,0.02517,0.10469,0.06084,0.76176,0,0
1765831618.414286,-0.00314,0.00002,-0.01841,-0.00029,0.00059,-0.00003,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,0,-1,OLD,OLD,OLD,OLD,OLD,OLD,0,0
1765831618.416251,-0.00411,-0.01845,-0.02550,0.00124,-0.00041,-0.00030,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,0,-1,OLD,OLD,OLD,OLD,OLD,OLD,0,0
1765831618.418274,-0.01262,-0.00483,0.03470,0.00075,0.00133,-0.00025,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,0,-1,OLD,OLD,OLD,OLD,OLD,OLD,0,0
1765831618.420264,-0.00496,-0.01383,-0.03321,0.00173,0.00011,-0.00004,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,0,-1,OLD,OLD,OLD,OLD,OLD,OLD,0,0
1765831618.422271,0.00377,-0.00391,-0.00319,0.00163,-0.00013,-0.00030,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,0,-1,OLD,OLD,OLD,OLD,OLD,OLD,0,0
1765831618.424267,0.00831,-0.00431,0.00487,-0.00274,-0.00145,0.00012,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,0,-1,OLD,OLD,OLD,OLD,OLD,OLD,0,0
1765831618.426263,-0.00761,-0.01190,0.01221,0.00022,0.00052,-0.00027,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,0,-1,OLD,OLD,OLD,OLD,OLD,OLD,0,0
1765831618.428328,0.00477,0.00038,-0.01840,0.00037,0.00011,-0.00004,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,0,-1,OLD,OLD,OLD,OLD,OLD,OLD,0,0
1765831618.430295,-0.00077,0.00112,0.03510,-0.00202,-0.00148,0.00002,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,0,-1,OLD,OLD,OLD,OLD,OLD,OLD,0,0
1765831618.432288,0.00896,0.00293,0.00456,0.00019,-0.00032,0.00051,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,1,0,-3.06915,0.01047,0.02469,0.10461,0.06080,0.76118,0,0
1765831618.434255,-0.00405,-0.01166,0.04307,-0.00305,-0.00117,0.00017,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,1,0,-3.06915,0.01047,0.02469,0.10461,0.06080,0.76118,0,0
1765831618.436248,0.00531,0.00118,-0.01824,0.00016,-0.00104,-0.00004,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,1,0,-3.06915,0.01047,0.02469,0.10461,0.06080,0.76118,0,0
1765831618.438242,-0.01892,-0.03402,0.08143,-0.00114,0.00029,0.00021,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,1,0,-3.06915,0.01047,0.02469,0.10461,0.06080,0.76118,0,0
1765831618.440252,0.00420,-0.00897,-0.01076,0.00135,-0.00001,-0.00057,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,1,0,-3.06915,0.01047,0.02469,0.10461,0.06080,0.76118,0,0
1765831618.442293,-0.00483,-0.00188,0.02762,-0.00249,-0.00091,0.00029,0.51676,-0.00059,0.14063,0.00082,0.70697,-0.00015,0.70724,1,0,-3.06915,0.01047,0.02469,0.10461,0.06080,0.76118,0,0
