ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_qx,tag_qy,tag_qz,tag_qw,tag_x,tag_y,tag_z,fw_contact,ft_trigger
1766093898.530682,0.06447,0.01559,-0.02225,-0.00117,0.00001,0.00147,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.532663,0.05982,0.01372,0.00060,-0.00053,-0.00032,0.00136,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.534619,0.06827,0.00368,-0.00684,-0.00044,-0.00029,0.00122,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.536647,0.07212,0.02582,-0.02245,-0.00038,-0.00047,0.00160,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.538614,0.05559,0.02165,0.00032,-0.00022,-0.00066,0.00096,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.540699,0.03249,0.00234,0.06949,-0.00220,-0.00113,0.00119,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.542650,0.06384,0.02087,-0.01483,-0.00045,-0.00012,0.00134,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.544631,0.05109,0.00388,-0.01440,-0.00022,0.00004,0.00123,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.546622,0.05367,0.01675,-0.03001,0.00147,-0.00013,0.00107,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.548615,0.04665,0.00757,0.00837,0.00048,-0.00105,0.00098,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.550634,0.06462,0.02671,-0.03778,-0.00059,-0.00128,0.00079,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.552621,0.04965,0.01204,0.03112,-0.00230,-0.00148,0.00087,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.554629,0.03883,0.00623,0.03842,-0.00041,0.00081,0.00060,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.556626,0.04412,-0.00093,0.01630,-0.00159,-0.00037,0.00140,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.558610,0.04716,0.00631,-0.02216,-0.00041,0.00021,0.00095,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.560632,0.02873,0.00711,-0.01454,0.00113,0.00031,0.00098,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.562627,0.06367,0.00111,-0.00651,-0.00047,-0.00022,0.00190,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.564645,0.05966,0.00831,-0.02968,-0.00060,0.00020,0.00147,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.566658,0.04404,0.02374,0.03073,-0.00151,-0.00027,0.00113,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.568636,0.05507,0.02654,-0.01510,0.00028,-0.00041,0.00081,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.570636,0.04532,0.01162,-0.01483,0.00141,0.00048,0.00082,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.572669,0.05790,0.00631,0.03894,-0.00259,-0.00093,0.00140,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.574641,0.04274,0.00374,0.00060,-0.00022,0.00065,0.00084,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.576631,0.05500,0.02138,-0.00736,0.00021,-0.00015,0.00095,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.578631,0.06344,0.02047,-0.00733,-0.00023,0.00052,0.00135,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.580634,0.06221,0.02046,-0.03021,0.00086,0.00091,0.00133,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.582732,0.05589,0.01116,-0.00698,-0.00078,-0.00015,0.00123,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.584651,0.05021,-0.00338,0.03163,-0.00314,-0.00108,0.00128,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
1766093898.586718,0.06391,0.00126,-0.01443,-0.00025,-0.00011,0.00108,0.56609,-0.00073,0.15206,0.00089,0.70787,-0.00034,0.70634,0,-1,nan,nan,nan,nan,nan,nan,nan,0,0
