ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_qx,tag_qy,tag_qz,tag_qw,tag_x,tag_y,tag_z,fw_contact,ft_trigger
1768600230.030747,-0.03252,-0.06589,-0.01120,-0.00120,0.00083,0.00056,0.51659,0.00009,0.17986,-0.00008,0.70822,0.00011,0.70599,1,0,0.99925,0.01226,-0.00603,-0.03616,0.08488,0.06715,0.65512,0,0
1768600230.032709,-0.03948,-0.07465,-0.03536,-0.00133,0.00141,0.00043,0.51659,0.00009,0.17986,-0.00008,0.70822,0.00011,0.70599,1,0,0.99925,0.01226,-0.00603,-0.03616,0.08488,0.06715,0.65512,0,0
1768600230.034708,-0.03993,-0.07425,-0.01508,-0.00146,0.00121,-0.00035,0.51659,0.00009,0.17986,-0.00008,0.70822,0.00011,0.70599,1,0,0.99925,0.01226,-0.00603,-0.03616,0.08488,0.06715,0.65512,0,0
1768600230.036732,-0.01721,-0.04877,-0.01656,-0.00107,0.00054,0.00049,0.51659,0.00009,0.17986,-0.00008,0.70822,0.00011,0.70599,1,0,0.99925,0.01226,-0.00603,-0.03616,0.08488,0.06715,0.65512,0,0
1768600230.038737,-0.00992,-0.05716,-0.01745,-0.00146,0.00031,0.00198,0.51659,0.00009,0.17986,-0.00008,0.70822,0.00011,0.70599,1,0,0.99925,0.01226,-0.00603,-0.03616,0.08488,0.06715,0.65512,0,0
1768600230.040728,-0.03255,-0.05342,-0.01484,-0.00095,0.00057,0.00156,0.51659,0.00009,0.17986,-0.00008,0.70822,0.00011,0.70599,1,0,0.99925,0.01226,-0.00603,-0.03616,0.08488,0.06715,0.65512,0,0
1768600230.042755,-0.01787,-0.04782,0.00822,-0.00135,-0.00025,0.00007,0.51659,0.00009,0.17986,-0.00008,0.70822,0.00011,0.70599,1,0,0.99925,0.01226,-0.00603,-0.03616,0.08488,0.06715,0.65512,0,0
1768600230.044730,-0.06278,-0.05876,-0.02088,-0.00137,0.00224,0.00061,0.51659,0.00009,0.17986,-0.00008,0.70822,0.00011,0.70599,1,0,0.99925,0.01226,-0.00603,-0.03616,0.08488,0.06715,0.65512,0,0
1768600230.046753,-0.02475,-0.06134,-0.02375,-0.00147,0.00067,0.00077,0.51659,0.00009,0.17986,-0.00008,0.70822,0.00011,0.70599,1,0,0.99926,0.01231,-0.00587,-0.03609,0.08488,0.06715,0.65512,0,0
1768600230.048733,-0.02579,-0.06600,0.01273,-0.00148,0.00068,0.00155,0.51659,0.00009,0.17986,-0.00008,0.70822,0.00011,0.70599,1,0,0.99926,0.01231,-0.00587,-0.03609,0.08488,0.06715,0.65512,0,0
1768600230.050802,-0.03238,-0.07332,-0.01587,-0.00146,0.00011,0.00027,0.51659,0.00009,0.17986,-0.00008,0.70822,0.00011,0.70599,1,0,0.99926,0.01231,-0.00587,-0.03609,0.08488,0.06715,0.65512,0,0
1768600230.053302,-0.01716,-0.07796,-0.01417,-0.00091,-0.00008,0.00122,0.51659,0.00009,0.17986,-0.00008,0.70822,0.00011,0.70599,1,0,0.99926,0.01231,-0.00587,-0.03609,0.08488,0.06715,0.65512,0,0
1768600230.054732,-0.01765,-0.05327,0.00044,-0.00094,0.00053,0.00091,0.51659,0.00009,0.17986,-0.00008,0.70822,0.00011,0.70599,1,0,0.99926,0.01231,-0.00587,-0.03609,0.08488,0.06715,0.65512,0,0
1768600230.056736,-0.02502,-0.06902,0.00119,-0.00092,-0.00033,0.00009,0.51659,0.00009,0.17986,-0.00008,0.70822,0.00011,0.70599,1,0,0.99926,0.01231,-0.00587,-0.03609,0.08488,0.06715,0.65512,0,0
1768600230.058749,-0.00963,-0.07775,-0.01844,-0.00157,0.00030,0.00070,0.51659,0.00009,0.17986,-0.00008,0.70822,0.00011,0.70599,1,0,0.99926,0.01231,-0.00587,-0.03609,0.08488,0.06715,0.65512,0,0
1768600230.060783,-0.03270,-0.06624,-0.00724,-0.00094,0.00066,0.00171,0.51659,0.00009,0.17986,-0.00008,0.70822,0.00011,0.70599,1,0,0.99926,0.01231,-0.00587,-0.03609,0.08488,0.06715,0.65512,0,0
1768600230.062730,-0.04762,-0.07546,-0.02624,-0.00161,0.00195,0.00170,0.51659,0.00009,0.17986,-0.00008,0.70822,0.00011,0.70599,1,0,0.99926,0.01231,-0.00587,-0.03609,0.08488,0.06715,0.65512,0,0
1768600230.064741,-0.02490,-0.07789,-0.00901,-0.00105,-0.00002,0.00096,0.51659,0.00009,0.17986,-0.00008,0.70822,0.00011,0.70599,1,0,0.99926,0.01231,-0.00587,-0.03609,0.08488,0.06715,0.65512,0,0
1768600230.066737,-0.02455,-0.08224,-0.01647,-0.00064,-0.00011,0.00103,0.51659,0.00009,0.17986,-0.00008,0.70822,0.00011,0.70599,1,0,0.99926,0.01231,-0.00587,-0.03609,0.08488,0.06715,0.65512,0,0
