ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_qx,tag_qy,tag_qz,tag_qw,tag_x,tag_y,tag_z,fw_contact,ft_trigger
1769029059.593434,-0.01844,0.04453,0.00821,0.00057,0.00127,-0.00035,0.51709,-0.00029,0.28011,0.00016,0.70831,-0.00018,0.70590,1,3,0.99965,0.01067,-0.00578,-0.02366,0.08470,0.08346,0.63019,0,0
1769029059.595409,-0.00372,0.04984,0.02061,0.00003,0.00055,-0.00068,0.51709,-0.00029,0.28011,0.00016,0.70831,-0.00018,0.70590,1,3,0.99965,0.01067,-0.00578,-0.02366,0.08470,0.08346,0.63019,0,0
1769029059.597428,0.02705,0.04584,0.01208,0.00087,-0.00043,0.00040,0.51709,-0.00029,0.28011,0.00016,0.70831,-0.00018,0.70590,1,3,0.99965,0.01067,-0.00578,-0.02366,0.08470,0.08346,0.63019,0,0
1769029059.599408,-0.00351,0.07198,0.01183,0.00042,-0.00086,-0.00018,0.51709,-0.00029,0.28011,0.00016,0.70831,-0.00018,0.70590,1,3,0.99965,0.01067,-0.00578,-0.02366,0.08470,0.08346,0.63019,0,0
1769029059.601445,-0.00310,0.04509,-0.00215,0.00045,0.00071,0.00016,0.51709,-0.00029,0.28011,0.00016,0.70831,-0.00018,0.70590,1,3,0.99965,0.01067,-0.00578,-0.02366,0.08470,0.08346,0.63019,0,0
1769029059.603423,-0.00401,0.05879,0.03464,0.00042,-0.00037,-0.00042,0.51709,-0.00029,0.28011,0.00016,0.70831,-0.00018,0.70590,1,3,0.99965,0.01067,-0.00578,-0.02366,0.08470,0.08346,0.63019,0,0
1769029059.605469,0.01203,0.04948,0.00600,0.00045,0.00081,-0.00092,0.51709,-0.00029,0.28011,0.00016,0.70831,-0.00018,0.70590,1,3,0.99963,0.01054,-0.00572,-0.02457,0.08470,0.08346,0.63017,0,0
1769029059.607439,0.00404,0.05012,0.02417,0.00111,-0.00072,0.00034,0.51709,-0.00029,0.28011,0.00016,0.70831,-0.00018,0.70590,1,3,0.99963,0.01054,-0.00572,-0.02457,0.08470,0.08346,0.63017,0,0
1769029059.609440,0.01918,0.05770,0.01941,0.00085,0.00032,0.00037,0.51709,-0.00029,0.28011,0.00016,0.70831,-0.00018,0.70590,1,3,0.99963,0.01054,-0.00572,-0.02457,0.08470,0.08346,0.63017,0,0
1769029059.611476,0.03499,0.04577,0.00819,0.00102,-0.00003,-0.00087,0.51709,-0.00029,0.28011,0.00016,0.70831,-0.00018,0.70590,1,3,0.99963,0.01054,-0.00572,-0.02457,0.08470,0.08346,0.63017,0,0
1769029059.613448,-0.01890,0.05882,0.03037,0.00055,-0.00020,-0.00130,0.51709,-0.00029,0.28011,0.00016,0.70831,-0.00018,0.70590,1,3,0.99963,0.01054,-0.00572,-0.02457,0.08470,0.08346,0.63017,0,0
1769029059.615443,-0.01090,0.03709,0.01345,0.00045,0.00046,-0.00077,0.51709,-0.00029,0.28011,0.00016,0.70831,-0.00018,0.70590,1,3,0.99963,0.01054,-0.00572,-0.02457,0.08470,0.08346,0.63017,0,0
1769029059.617453,0.01255,0.04384,0.00562,0.00128,-0.00225,-0.00160,0.51709,-0.00029,0.28011,0.00016,0.70831,-0.00018,0.70590,1,3,0.99963,0.01054,-0.00572,-0.02457,0.08470,0.08346,0.63017,0,0
1769029059.619442,0.01926,0.05348,0.01737,0.00072,0.00051,0.00004,0.51709,-0.00029,0.28011,0.00016,0.70831,-0.00018,0.70590,1,3,0.99963,0.01054,-0.00572,-0.02457,0.08470,0.08346,0.63017,0,0
