ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_qx,tag_qy,tag_qz,tag_qw,tag_x,tag_y,tag_z,fw_contact,ft_trigger
1769107743.039608,-0.02791,0.00244,0.00268,-0.00083,0.00141,0.00002,0.51699,-0.00033,0.27982,0.00026,0.70850,-0.00023,0.70571,1,3,0.99963,0.01074,-0.00990,-0.02315,0.08430,0.08317,0.63628,0,0
1769107743.041642,-0.03521,0.00257,0.00219,-0.00003,0.00075,0.00016,0.51699,-0.00033,0.27982,0.00026,0.70850,-0.00023,0.70571,1,3,0.99963,0.01074,-0.00990,-0.02315,0.08430,0.08317,0.63628,0,0
1769107743.043635,-0.01210,0.00260,-0.02170,-0.00094,0.00155,-0.00022,0.51699,-0.00033,0.27982,0.00026,0.70850,-0.00023,0.70571,1,3,0.99963,0.01074,-0.00990,-0.02315,0.08430,0.08317,0.63628,0,0
1769107743.045629,0.01022,0.00765,0.01448,0.00027,-0.00019,-0.00029,0.51699,-0.00033,0.27982,0.00026,0.70850,-0.00023,0.70571,1,3,0.99963,0.01074,-0.00990,-0.02315,0.08430,0.08317,0.63628,0,0
1769107743.047632,-0.01970,0.00107,-0.02330,-0.00015,0.00197,0.00184,0.51699,-0.00033,0.27982,0.00026,0.70850,-0.00023,0.70571,1,3,0.99963,0.01074,-0.00990,-0.02315,0.08430,0.08317,0.63628,0,0
1769107743.049628,-0.04325,0.02049,0.02114,0.00021,-0.00055,0.00006,0.51699,-0.00033,0.27982,0.00026,0.70850,-0.00023,0.70571,1,3,0.99963,0.01074,-0.00990,-0.02315,0.08430,0.08317,0.63628,0,0
1769107743.051620,0.04157,0.00971,-0.01086,0.00098,-0.00246,-0.00041,0.51699,-0.00033,0.27982,0.00026,0.70850,-0.00023,0.70571,1,3,0.99963,0.01074,-0.00990,-0.02315,0.08430,0.08317,0.63628,0,0
1769107743.053617,-0.02754,-0.01517,-0.00203,-0.00027,0.00179,0.00025,0.51699,-0.00033,0.27982,0.00026,0.70850,-0.00023,0.70571,1,3,0.99963,0.01074,-0.00990,-0.02315,0.08430,0.08317,0.63628,0,0
1769107743.055619,0.04060,0.01570,0.01637,0.00003,-0.00366,-0.00090,0.51699,-0.00033,0.27982,0.00026,0.70850,-0.00023,0.70571,1,3,0.99963,0.01074,-0.00990,-0.02315,0.08430,0.08317,0.63628,0,0
1769107743.057696,-0.03512,-0.01972,-0.00921,-0.00068,0.00236,0.00043,0.51699,-0.00033,0.27982,0.00026,0.70850,-0.00023,0.70571,1,3,0.99963,0.01074,-0.00990,-0.02315,0.08430,0.08317,0.63628,0,0
