ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_qx,tag_qy,tag_qz,tag_qw,tag_x,tag_y,tag_z,fw_contact,ft_trigger
1769616432.225468,-0.00784,0.01193,-0.00829,0.00002,0.00027,-0.00068,0.51659,-0.00033,0.17959,0.00025,0.70841,-0.00025,0.70580,1,0,0.99888,0.01178,-0.02397,-0.03899,0.10847,0.06624,0.65354,0,0
1769616432.227474,-0.00031,0.00243,-0.01320,-0.00024,0.00130,0.00006,0.51659,-0.00033,0.17959,0.00025,0.70841,-0.00025,0.70580,1,0,0.99888,0.01203,-0.02302,-0.03962,0.10845,0.06622,0.65337,0,0
1769616432.229473,-0.02318,0.01226,-0.00444,0.00027,-0.00056,0.00033,0.51659,-0.00033,0.17959,0.00025,0.70841,-0.00025,0.70580,1,0,0.99888,0.01203,-0.02302,-0.03962,0.10845,0.06622,0.65337,0,0
1769616432.231476,-0.00075,0.00791,0.00806,0.00016,-0.00041,0.00037,0.51659,-0.00033,0.17959,0.00025,0.70841,-0.00025,0.70580,1,0,0.99888,0.01203,-0.02302,-0.03962,0.10845,0.06622,0.65337,0,0
1769616432.233482,-0.01596,-0.00179,0.00461,-0.00052,0.00151,-0.00041,0.51659,-0.00033,0.17959,0.00025,0.70841,-0.00025,0.70580,1,0,0.99888,0.01203,-0.02302,-0.03962,0.10845,0.06622,0.65337,0,0
1769616432.235495,0.00729,-0.00566,-0.01339,-0.00022,0.00086,0.00042,0.51659,-0.00033,0.17959,0.00025,0.70841,-0.00025,0.70580,1,0,0.99888,0.01203,-0.02302,-0.03962,0.10845,0.06622,0.65337,0,0
1769616432.237489,-0.01586,-0.00513,0.00232,-0.00064,0.00083,-0.00075,0.51659,-0.00033,0.17959,0.00025,0.70841,-0.00025,0.70580,1,0,0.99888,0.01203,-0.02302,-0.03962,0.10845,0.06622,0.65337,0,0
1769616432.239466,-0.00077,-0.00116,0.00434,-0.00050,0.00085,-0.00029,0.51659,-0.00033,0.17959,0.00025,0.70841,-0.00025,0.70580,1,0,0.99888,0.01203,-0.02302,-0.03962,0.10845,0.06622,0.65337,0,0
1769616432.241473,-0.00090,0.00807,0.00930,-0.00065,0.00026,-0.00079,0.51659,-0.00033,0.17959,0.00025,0.70841,-0.00025,0.70580,1,0,0.99888,0.01203,-0.02302,-0.03962,0.10845,0.06622,0.65337,0,0
1769616432.243469,-0.01552,0.00716,-0.01605,-0.00039,0.00083,0.00026,0.51659,-0.00033,0.17959,0.00025,0.70841,-0.00025,0.70580,1,0,0.99888,0.01203,-0.02302,-0.03962,0.10845,0.06622,0.65337,0,0
1769616432.245472,0.01433,-0.00722,0.00867,-0.00062,-0.00150,-0.00010,0.51659,-0.00033,0.17959,0.00025,0.70841,-0.00025,0.70580,1,0,0.99888,0.01203,-0.02302,-0.03962,0.10845,0.06622,0.65337,0,0
1769616432.247476,0.01456,0.01248,0.00123,-0.00023,-0.00027,-0.00032,0.51659,-0.00033,0.17959,0.00025,0.70841,-0.00025,0.70580,1,0,0.99888,0.01203,-0.02302,-0.03962,0.10845,0.06622,0.65337,0,0
