ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_qx,tag_qy,tag_qz,tag_qw,tag_x,tag_y,tag_z,fw_contact,ft_trigger
1769814320.205654,-0.03392,0.01430,-0.00342,0.00020,0.00088,-0.00023,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99966,0.00506,0.02005,0.01596,0.09393,0.12274,0.67914,0,0
1769814320.207601,0.01908,0.02847,0.00355,0.00023,-0.00057,-0.00054,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99966,0.00506,0.02005,0.01596,0.09393,0.12274,0.67914,0,0
1769814320.209618,-0.01869,0.02809,-0.00609,0.00007,-0.00003,-0.00065,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99966,0.00506,0.02005,0.01596,0.09393,0.12274,0.67914,0,0
1769814320.211664,-0.00286,0.00572,-0.02849,0.00051,0.00079,0.00053,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99966,0.00506,0.02005,0.01596,0.09393,0.12274,0.67914,0,0
1769814320.213621,-0.01797,-0.00242,-0.02324,0.00078,0.00042,0.00012,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99966,0.00506,0.02005,0.01596,0.09393,0.12274,0.67914,0,0
1769814320.215615,-0.02605,0.02904,-0.01115,0.00020,-0.00096,-0.00091,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99966,0.00506,0.02005,0.01596,0.09393,0.12274,0.67914,0,0
1769814320.217645,-0.01110,0.01376,-0.00291,0.00022,0.00154,-0.00061,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99966,0.00506,0.02005,0.01596,0.09393,0.12274,0.67914,0,0
1769814320.219820,0.04275,-0.01676,-0.02247,0.00004,-0.00132,-0.00074,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99966,0.00506,0.02005,0.01596,0.09393,0.12274,0.67914,0,0
1769814320.221617,0.01176,0.03224,-0.00919,0.00036,-0.00028,-0.00006,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99966,0.00506,0.02005,0.01596,0.09393,0.12274,0.67914,0,0
1769814320.223607,-0.02639,0.03204,-0.00410,0.00019,-0.00000,-0.00019,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99966,0.00506,0.02005,0.01596,0.09393,0.12274,0.67914,0,0
1769814320.225623,-0.04197,0.04050,0.01064,0.00017,-0.00004,-0.00043,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99966,0.00506,0.02005,0.01596,0.09393,0.12274,0.67914,0,0
1769814320.227613,-0.01156,0.01951,0.01426,-0.00006,0.00022,-0.00107,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99966,0.00506,0.02005,0.01596,0.09393,0.12274,0.67914,0,0
1769814320.229615,-0.01104,0.00555,-0.00768,-0.00004,0.00148,-0.00051,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99966,0.00506,0.02005,0.01596,0.09393,0.12274,0.67914,0,0
1769814320.231601,0.04156,0.02301,0.01075,0.00025,0.00040,0.00028,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99966,0.00506,0.02005,0.01596,0.09393,0.12274,0.67914,0,0
1769814320.233626,0.06446,0.01578,0.01087,0.00028,-0.00070,-0.00001,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99966,0.00506,0.02005,0.01596,0.09393,0.12274,0.67914,0,0
1769814320.235622,0.01134,0.01448,0.01057,0.00064,0.00017,0.00052,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99966,0.00506,0.02005,0.01596,0.09393,0.12274,0.67914,0,0
1769814320.237672,0.00444,0.02330,-0.01339,0.00050,0.00032,-0.00058,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99966,0.00506,0.02005,0.01596,0.09393,0.12274,0.67914,0,0
1769814320.239623,-0.01891,0.00622,0.00630,0.00035,0.00034,-0.00001,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99967,0.00494,0.02028,0.01517,0.09393,0.12274,0.67914,0,0
1769814320.241632,-0.00318,0.02241,-0.01807,0.00022,0.00136,-0.00044,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99967,0.00494,0.02028,0.01517,0.09393,0.12274,0.67914,0,0
1769814320.243638,0.08778,-0.00964,-0.00799,0.00006,-0.00027,-0.00008,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99967,0.00494,0.02028,0.01517,0.09393,0.12274,0.67914,0,0
1769814320.245664,-0.06413,0.01919,-0.01009,-0.00022,0.00080,-0.00130,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99967,0.00494,0.02028,0.01517,0.09393,0.12274,0.67914,0,0
1769814320.247657,-0.02560,0.00559,-0.02817,0.00049,0.00101,0.00015,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99967,0.00494,0.02028,0.01517,0.09393,0.12274,0.67914,0,0
1769814320.249642,-0.05636,0.01822,-0.01580,0.00032,0.00116,-0.00026,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99967,0.00494,0.02028,0.01517,0.09393,0.12274,0.67914,0,0
1769814320.251635,0.00375,0.02336,0.01165,0.00022,0.00041,-0.00099,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99967,0.00494,0.02028,0.01517,0.09393,0.12274,0.67914,0,0
1769814320.253628,0.04148,0.00597,0.01632,0.00013,0.00068,0.00010,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99967,0.00494,0.02028,0.01517,0.09393,0.12274,0.67914,0,0
1769814320.255656,0.01896,0.02781,0.00310,0.00023,-0.00013,0.00023,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99967,0.00494,0.02028,0.01517,0.09393,0.12274,0.67914,0,0
1769814320.257724,-0.00404,0.01964,0.01258,0.00035,-0.00068,0.00071,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99967,0.00494,0.02028,0.01517,0.09393,0.12274,0.67914,0,0
1769814320.259637,-0.05612,0.00610,-0.02317,0.00033,0.00064,-0.00011,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99967,0.00494,0.02028,0.01517,0.09393,0.12274,0.67914,0,0
1769814320.261655,-0.01091,0.03191,-0.01443,0.00047,-0.00013,0.00033,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99967,0.00494,0.02028,0.01517,0.09393,0.12274,0.67914,0,0
1769814320.263630,-0.02633,0.03237,-0.00388,0.00019,-0.00022,-0.00057,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99967,0.00494,0.02028,0.01517,0.09393,0.12274,0.67914,0,0
1769814320.265654,-0.01083,0.02126,-0.01785,0.00021,0.00245,-0.00030,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99967,0.00494,0.02028,0.01517,0.09393,0.12274,0.67914,0,0
1769814320.267648,0.01244,-0.01213,-0.02742,0.00054,0.00190,0.00011,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99967,0.00494,0.02028,0.01517,0.09393,0.12274,0.67914,0,0
1769814320.269646,0.02691,0.02283,-0.00406,0.00064,0.00044,0.00018,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99967,0.00494,0.02028,0.01517,0.09393,0.12274,0.67914,0,0
1769814320.271652,-0.00351,0.03327,-0.00410,0.00021,-0.00109,-0.00059,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99967,0.00494,0.02028,0.01517,0.09393,0.12274,0.67914,0,0
1769814320.273687,-0.04168,0.03406,0.00038,0.00005,-0.00192,-0.00034,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99967,0.00494,0.02028,0.01517,0.09393,0.12274,0.67914,0,0
1769814320.275649,-0.01852,0.02001,-0.00143,0.00075,-0.00084,-0.00055,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99967,0.00494,0.02028,0.01517,0.09393,0.12274,0.67914,0,0
1769814320.277640,-0.00315,0.00460,-0.01757,0.00024,0.00224,-0.00023,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99967,0.00494,0.02028,0.01517,0.09393,0.12274,0.67914,0,0
1769814320.279645,0.01923,0.01887,0.00383,0.00064,0.00031,-0.00041,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99967,0.00494,0.02028,0.01517,0.09393,0.12274,0.67914,0,0
1769814320.281641,0.01972,0.01081,-0.01544,0.00039,0.00030,-0.00069,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99967,0.00494,0.02028,0.01517,0.09393,0.12274,0.67914,0,0
1769814320.283640,0.01890,0.01314,0.00112,0.00010,0.00181,0.00079,0.58949,-0.00036,0.10042,0.00023,0.70860,-0.00023,0.70561,1,4,0.99967,0.00494,0.02028,0.01517,0.09393,0.12274,0.67914,0,0
