ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_qx,tag_qy,tag_qz,tag_qw,tag_x,tag_y,tag_z,fw_contact,ft_trigger
1769814663.306624,-0.05352,0.04350,0.00346,0.00023,0.00208,-0.00147,0.46682,-0.00028,0.24821,0.00022,0.70801,-0.00022,0.70620,1,2,0.99893,-0.00423,-0.01374,-0.04391,0.06301,-0.11179,0.64083,0,0
1769814663.308635,-0.00824,0.06654,0.00944,0.00024,-0.00003,-0.00100,0.46682,-0.00028,0.24821,0.00022,0.70801,-0.00022,0.70620,1,2,0.99893,-0.00423,-0.01374,-0.04391,0.06301,-0.11179,0.64083,0,0
1769814663.310639,-0.02978,0.04530,-0.02192,0.00093,0.00003,-0.00147,0.46682,-0.00028,0.24821,0.00022,0.70801,-0.00022,0.70620,1,2,0.99893,-0.00423,-0.01374,-0.04391,0.06301,-0.11179,0.64083,0,0
1769814663.312640,-0.04591,0.06184,0.01288,0.00075,0.00045,-0.00220,0.46682,-0.00028,0.24821,0.00022,0.70801,-0.00022,0.70620,1,2,0.99893,-0.00423,-0.01374,-0.04391,0.06301,-0.11179,0.64083,0,0
1769814663.314701,0.01527,0.05330,-0.00770,0.00095,0.00020,-0.00082,0.46682,-0.00028,0.24821,0.00022,0.70801,-0.00022,0.70620,1,2,0.99893,-0.00423,-0.01374,-0.04391,0.06301,-0.11179,0.64083,0,0
1769814663.316630,-0.01493,0.04138,-0.01448,0.00054,-0.00010,-0.00130,0.46682,-0.00028,0.24821,0.00022,0.70801,-0.00022,0.70620,1,2,0.99893,-0.00423,-0.01374,-0.04391,0.06301,-0.11179,0.64083,0,0
1769814663.318643,-0.03035,0.03568,-0.00171,0.00079,0.00115,-0.00137,0.46682,-0.00028,0.24821,0.00022,0.70801,-0.00022,0.70620,1,2,0.99893,-0.00423,-0.01374,-0.04391,0.06301,-0.11179,0.64083,0,0
1769814663.320632,-0.04560,0.05342,-0.00242,0.00076,0.00027,-0.00133,0.46682,-0.00028,0.24821,0.00022,0.70801,-0.00022,0.70620,1,2,0.99893,-0.00423,-0.01374,-0.04391,0.06301,-0.11179,0.64083,0,0
1769814663.322649,-0.02316,0.06577,0.00428,0.00077,0.00035,-0.00072,0.46682,-0.00028,0.24821,0.00022,0.70801,-0.00022,0.70620,1,2,0.99893,-0.00423,-0.01374,-0.04391,0.06301,-0.11179,0.64083,0,0
1769814663.324669,-0.03798,0.06576,0.00547,0.00116,0.00058,-0.00236,0.46682,-0.00028,0.24821,0.00022,0.70801,-0.00022,0.70620,1,2,0.99893,-0.00423,-0.01374,-0.04391,0.06301,-0.11179,0.64083,0,0
