ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_qx,tag_qy,tag_qz,tag_qw,tag_x,tag_y,tag_z,fw_contact,ft_trigger
1769811120.176705,-0.01443,0.04864,0.01724,0.00058,0.00016,-0.00152,0.51701,-0.00032,0.15729,0.00023,0.70858,-0.00023,0.70563,1,3,0.99960,0.01008,-0.00171,-0.02627,0.07048,0.08285,0.64970,0,0
1769811120.178701,-0.02175,0.05740,0.00663,0.00084,-0.00040,-0.00110,0.51701,-0.00032,0.15729,0.00023,0.70858,-0.00023,0.70563,1,3,0.99960,0.01008,-0.00171,-0.02627,0.07048,0.08285,0.64970,0,0
1769811120.180732,-0.02174,0.05303,-0.00562,0.00017,0.00010,-0.00067,0.51701,-0.00032,0.15729,0.00023,0.70858,-0.00023,0.70563,1,3,0.99960,0.01008,-0.00171,-0.02627,0.07048,0.08285,0.64970,0,0
1769811120.182719,0.02400,0.05662,0.00708,0.00128,0.00026,-0.00147,0.51701,-0.00032,0.15729,0.00023,0.70858,-0.00023,0.70563,1,3,0.99960,0.01008,-0.00171,-0.02627,0.07048,0.08285,0.64970,0,0
1769811120.184751,-0.02124,0.04817,-0.00203,0.00112,0.00058,-0.00212,0.51701,-0.00032,0.15729,0.00023,0.70858,-0.00023,0.70563,1,3,0.99960,0.01008,-0.00171,-0.02627,0.07048,0.08285,0.64970,0,0
1769811120.186729,0.00892,0.04792,-0.00821,0.00087,0.00051,-0.00035,0.51701,-0.00032,0.15729,0.00023,0.70858,-0.00023,0.70563,1,3,0.99960,0.01008,-0.00171,-0.02627,0.07048,0.08285,0.64970,0,0
1769811120.188734,0.00053,0.05249,0.02459,0.00058,0.00047,-0.00145,0.51701,-0.00032,0.15729,0.00023,0.70858,-0.00023,0.70563,1,3,0.99960,0.01008,-0.00171,-0.02627,0.07048,0.08285,0.64970,0,0
1769811120.190720,0.00925,0.04013,-0.01263,0.00102,0.00002,-0.00101,0.51701,-0.00032,0.15729,0.00023,0.70858,-0.00023,0.70563,1,3,0.99960,0.01008,-0.00171,-0.02627,0.07048,0.08285,0.64970,0,0
1769811120.192734,0.00116,0.05628,0.00683,0.00126,0.00047,-0.00109,0.51701,-0.00032,0.15729,0.00023,0.70858,-0.00023,0.70563,1,3,0.99959,0.01006,0.00006,-0.02680,0.07045,0.08283,0.64942,0,0
1769811120.194732,-0.02912,0.04502,-0.00078,0.00084,-0.00071,-0.00082,0.51701,-0.00032,0.15729,0.00023,0.70858,-0.00023,0.70563,1,3,0.99959,0.01006,0.00006,-0.02680,0.07045,0.08283,0.64942,0,0
