ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_qx,tag_qy,tag_qz,tag_qw,tag_x,tag_y,tag_z,fw_contact,ft_trigger
1769814235.955956,-0.00856,0.01381,-0.01785,0.00020,-0.00034,-0.00024,0.58951,-0.00036,0.09479,0.00023,0.70860,-0.00023,0.70561,1,4,0.99993,0.00340,0.00822,0.00764,0.09340,0.12264,0.67933,0,0
1769814235.957960,0.01400,0.00013,-0.00915,-0.00018,0.00108,-0.00085,0.58951,-0.00036,0.09479,0.00023,0.70860,-0.00023,0.70561,1,4,0.99993,0.00340,0.00822,0.00764,0.09340,0.12264,0.67933,0,0
1769814235.959960,-0.03172,0.01228,-0.01229,-0.00036,0.00148,-0.00023,0.58951,-0.00036,0.09479,0.00023,0.70860,-0.00023,0.70561,1,4,0.99993,0.00340,0.00822,0.00764,0.09340,0.12264,0.67933,0,0
1769814235.961969,-0.00117,0.01131,-0.01796,0.00020,0.00185,0.00080,0.58951,-0.00036,0.09479,0.00023,0.70860,-0.00023,0.70561,1,4,0.99993,0.00340,0.00822,0.00764,0.09340,0.12264,0.67933,0,0
1769814235.963956,-0.01647,0.01661,0.00053,0.00032,0.00120,-0.00130,0.58951,-0.00036,0.09479,0.00023,0.70860,-0.00023,0.70561,1,4,0.99993,0.00340,0.00822,0.00764,0.09340,0.12264,0.67933,0,0
1769814235.965969,0.00665,0.00055,-0.01999,0.00009,0.00029,0.00005,0.58951,-0.00036,0.09479,0.00023,0.70860,-0.00023,0.70561,1,4,0.99993,0.00340,0.00822,0.00764,0.09340,0.12264,0.67933,0,0
1769814235.967959,-0.00899,0.01712,0.00066,-0.00008,0.00098,-0.00144,0.58951,-0.00036,0.09479,0.00023,0.70860,-0.00023,0.70561,1,4,0.99993,0.00340,0.00822,0.00764,0.09340,0.12264,0.67933,0,0
1769814235.969954,-0.00128,0.00952,-0.01010,-0.00020,-0.00003,-0.00033,0.58951,-0.00036,0.09479,0.00023,0.70860,-0.00023,0.70561,1,4,0.99993,0.00340,0.00822,0.00764,0.09340,0.12264,0.67933,0,0
1769814235.971953,0.05238,0.01600,-0.01160,0.00012,-0.00179,-0.00243,0.58951,-0.00036,0.09479,0.00023,0.70860,-0.00023,0.70561,1,4,0.99993,0.00340,0.00822,0.00764,0.09340,0.12264,0.67933,0,0
1769814235.973945,-0.00897,0.01765,-0.00061,0.00032,-0.00013,-0.00030,0.58951,-0.00036,0.09479,0.00023,0.70860,-0.00023,0.70561,1,4,0.99993,0.00340,0.00822,0.00764,0.09340,0.12264,0.67933,0,0
1769814235.975965,0.01418,0.00940,-0.00566,0.00089,-0.00063,-0.00019,0.58951,-0.00036,0.09479,0.00023,0.70860,-0.00023,0.70561,1,4,0.99993,0.00340,0.00822,0.00764,0.09340,0.12264,0.67933,0,0
1769814235.977962,0.01425,0.01745,-0.01610,0.00075,-0.00032,0.00048,0.58951,-0.00036,0.09479,0.00023,0.70860,-0.00023,0.70561,1,4,0.99993,0.00340,0.00822,0.00764,0.09340,0.12264,0.67933,0,0
1769814235.979962,-0.00162,0.00879,0.00409,0.00020,0.00015,0.00044,0.58951,-0.00036,0.09479,0.00023,0.70860,-0.00023,0.70561,1,4,0.99993,0.00340,0.00822,0.00764,0.09340,0.12264,0.67933,0,0
1769814235.981972,-0.00842,0.00830,-0.02994,-0.00006,0.00104,0.00021,0.58951,-0.00036,0.09479,0.00023,0.70860,-0.00023,0.70561,1,4,0.99993,0.00340,0.00822,0.00764,0.09340,0.12264,0.67933,0,0
1769814235.983968,0.08309,-0.00622,-0.02496,0.00070,-0.00152,-0.00037,0.58951,-0.00036,0.09479,0.00023,0.70860,-0.00023,0.70561,1,4,0.99993,0.00340,0.00822,0.00764,0.09340,0.12264,0.67933,0,0
1769814235.985990,0.06028,0.02529,-0.02837,0.00052,-0.00330,-0.00075,0.58951,-0.00036,0.09479,0.00023,0.70860,-0.00023,0.70561,1,4,0.99993,0.00340,0.00822,0.00764,0.09340,0.12264,0.67933,0,0
1769814235.987970,-0.02448,0.02018,0.00296,-0.00037,0.00210,-0.00085,0.58951,-0.00036,0.09479,0.00023,0.70860,-0.00023,0.70561,1,4,0.99994,0.00327,0.00757,0.00742,0.09339,0.12264,0.67931,0,0
1769814235.989973,-0.03185,0.00789,-0.00560,0.00004,0.00112,0.00058,0.58951,-0.00036,0.09479,0.00023,0.70860,-0.00023,0.70561,1,4,0.99994,0.00327,0.00757,0.00742,0.09339,0.12264,0.67931,0,0
