ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_qx,tag_qy,tag_qz,tag_qw,tag_x,tag_y,tag_z,fw_contact,ft_trigger
1769814809.231386,0.00298,0.00341,0.00091,0.00016,-0.00025,0.00017,0.56705,-0.00033,0.47474,0.00023,0.70838,-0.00020,0.70583,1,2,0.99917,-0.00447,-0.01512,-0.03762,0.06257,-0.11174,0.64025,0,0
1769814809.233425,-0.02044,0.00110,0.01135,-0.00054,0.00228,0.00056,0.56705,-0.00033,0.47474,0.00023,0.70838,-0.00020,0.70583,1,2,0.99917,-0.00447,-0.01512,-0.03762,0.06257,-0.11174,0.64025,0,0
1769814809.235393,0.00996,0.03315,0.01792,-0.00014,-0.00026,-0.00034,0.56705,-0.00033,0.47474,0.00023,0.70838,-0.00020,0.70583,1,2,0.99917,-0.00447,-0.01512,-0.03762,0.06257,-0.11174,0.64025,0,0
1769814809.237426,0.01066,-0.00035,0.00368,0.00031,-0.00065,-0.00030,0.56705,-0.00033,0.47474,0.00023,0.70838,-0.00020,0.70583,1,2,0.99917,-0.00447,-0.01512,-0.03762,0.06257,-0.11174,0.64025,0,0
1769814809.239387,0.02573,-0.00662,0.00633,0.00045,0.00113,0.00029,0.56705,-0.00033,0.47474,0.00023,0.70838,-0.00020,0.70583,1,2,0.99919,-0.00478,-0.01481,-0.03707,0.06261,-0.11178,0.64050,0,0
1769814809.241400,0.00202,0.01552,0.02821,-0.00040,0.00052,-0.00001,0.56705,-0.00033,0.47474,0.00023,0.70838,-0.00020,0.70583,1,2,0.99919,-0.00478,-0.01481,-0.03707,0.06261,-0.11178,0.64050,0,0
1769814809.243391,-0.02754,0.00720,-0.00110,-0.00041,0.00060,-0.00014,0.56705,-0.00033,0.47474,0.00023,0.70838,-0.00020,0.70583,1,2,0.99919,-0.00478,-0.01481,-0.03707,0.06261,-0.11178,0.64050,0,0
1769814809.245407,0.04085,-0.00659,-0.00403,-0.00007,0.00122,0.00117,0.56705,-0.00033,0.47474,0.00023,0.70838,-0.00020,0.70583,1,2,0.99919,-0.00478,-0.01481,-0.03707,0.06261,-0.11178,0.64050,0,0
1769814809.247381,0.01760,0.02396,0.01243,0.00001,0.00011,0.00079,0.56705,-0.00033,0.47474,0.00023,0.70838,-0.00020,0.70583,1,2,0.99919,-0.00478,-0.01481,-0.03707,0.06261,-0.11178,0.64050,0,0
1769814809.249412,0.01847,0.01469,0.00037,0.00057,-0.00309,-0.00060,0.56705,-0.00033,0.47474,0.00023,0.70838,-0.00020,0.70583,1,2,0.99919,-0.00478,-0.01481,-0.03707,0.06261,-0.11178,0.64050,0,0
1769814809.251389,-0.02010,0.00036,0.01922,-0.00012,-0.00090,-0.00134,0.56705,-0.00033,0.47474,0.00023,0.70838,-0.00020,0.70583,1,2,0.99919,-0.00478,-0.01481,-0.03707,0.06261,-0.11178,0.64050,0,0
1769814809.253405,-0.05774,-0.00234,-0.00067,-0.00002,0.00148,-0.00027,0.56705,-0.00033,0.47474,0.00023,0.70838,-0.00020,0.70583,1,2,0.99919,-0.00478,-0.01481,-0.03707,0.06261,-0.11178,0.64050,0,0
1769814809.255411,-0.01197,-0.00251,-0.01035,-0.00011,0.00180,-0.00026,0.56705,-0.00033,0.47474,0.00023,0.70838,-0.00020,0.70583,1,2,0.99919,-0.00478,-0.01481,-0.03707,0.06261,-0.11178,0.64050,0,0
1769814809.257407,0.03366,-0.00692,-0.00201,0.00047,-0.00269,0.00017,0.56705,-0.00033,0.47474,0.00023,0.70838,-0.00020,0.70583,1,2,0.99919,-0.00478,-0.01481,-0.03707,0.06261,-0.11178,0.64050,0,0
1769814809.259413,-0.00469,-0.00280,-0.00612,-0.00025,0.00185,0.00075,0.56705,-0.00033,0.47474,0.00023,0.70838,-0.00020,0.70583,1,2,0.99919,-0.00478,-0.01481,-0.03707,0.06261,-0.11178,0.64050,0,0
1769814809.261434,-0.00520,0.00289,0.02070,0.00001,0.00021,0.00028,0.56705,-0.00033,0.47474,0.00023,0.70838,-0.00020,0.70583,1,2,0.99919,-0.00478,-0.01481,-0.03707,0.06261,-0.11178,0.64050,0,0
1769814809.263419,-0.04231,-0.01490,-0.01281,-0.00026,0.00155,0.00001,0.56705,-0.00033,0.47474,0.00023,0.70838,-0.00020,0.70583,1,2,0.99919,-0.00478,-0.01481,-0.03707,0.06261,-0.11178,0.64050,0,0
1769814809.265436,-0.03486,-0.00210,-0.00632,0.00013,0.00097,0.00050,0.56705,-0.00033,0.47474,0.00023,0.70838,-0.00020,0.70583,1,2,0.99919,-0.00478,-0.01481,-0.03707,0.06261,-0.11178,0.64050,0,0
