ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_qx,tag_qy,tag_qz,tag_qw,tag_x,tag_y,tag_z,fw_contact,ft_trigger
1769890402.825402,-0.00356,0.01267,0.01274,-0.00028,0.00010,-0.00049,0.51705,-0.00031,0.28006,0.00023,0.70830,-0.00022,0.70591,1,3,0.99823,0.01006,0.05055,-0.02971,0.03626,0.07462,0.81668,0,0
1769890402.827404,0.00430,0.02517,0.00486,0.00012,0.00001,-0.00037,0.51705,-0.00031,0.28006,0.00023,0.70830,-0.00022,0.70591,1,3,0.99826,0.01000,0.04976,-0.02993,0.03627,0.07464,0.81684,0,0
1769890402.829422,-0.01855,-0.01867,0.00604,-0.00026,0.00176,0.00015,0.51705,-0.00031,0.28006,0.00023,0.70830,-0.00022,0.70591,1,3,0.99835,0.01003,0.04905,-0.02824,0.03628,0.07465,0.81702,0,0
1769890402.831415,-0.01874,0.02519,0.00434,-0.00031,-0.00000,0.00039,0.51705,-0.00031,0.28006,0.00023,0.70830,-0.00022,0.70591,1,3,0.99835,0.01003,0.04905,-0.02824,0.03628,0.07465,0.81702,0,0
1769890402.833458,-0.01853,0.01610,-0.00515,-0.00043,0.00076,0.00050,0.51705,-0.00031,0.28006,0.00023,0.70830,-0.00022,0.70591,1,3,0.99835,0.01003,0.04905,-0.02824,0.03628,0.07465,0.81702,0,0
1769890402.835436,0.00453,0.02461,-0.01441,-0.00055,0.00108,-0.00036,0.51705,-0.00031,0.28006,0.00023,0.70830,-0.00022,0.70591,1,3,0.99835,0.01003,0.04905,-0.02824,0.03628,0.07465,0.81702,0,0
1769890402.837455,0.08821,-0.00153,-0.00180,-0.00018,-0.00226,-0.00107,0.51705,-0.00031,0.28006,0.00023,0.70830,-0.00022,0.70591,1,3,0.99835,0.01003,0.04905,-0.02824,0.03628,0.07465,0.81702,0,0
1769890402.839436,0.02794,-0.00179,-0.00702,0.00071,-0.00254,-0.00117,0.51705,-0.00031,0.28006,0.00023,0.70830,-0.00022,0.70591,1,3,0.99835,0.01003,0.04905,-0.02824,0.03628,0.07465,0.81702,0,0
1769890402.841438,-0.01796,-0.00027,-0.01407,-0.00014,0.00043,-0.00043,0.51705,-0.00031,0.28006,0.00023,0.70830,-0.00022,0.70591,1,3,0.99835,0.01003,0.04905,-0.02824,0.03628,0.07465,0.81702,0,0
1769890402.843448,0.02785,-0.00975,-0.01170,0.00005,-0.00260,-0.00108,0.51705,-0.00031,0.28006,0.00023,0.70830,-0.00022,0.70591,1,3,0.99835,0.01003,0.04905,-0.02824,0.03628,0.07465,0.81702,0,0
1769890402.845448,0.06525,-0.01480,0.00590,-0.00019,-0.00173,-0.00091,0.51705,-0.00031,0.28006,0.00023,0.70830,-0.00022,0.70591,1,3,0.99835,0.01003,0.04905,-0.02824,0.03628,0.07465,0.81702,0,0
1769890402.847440,-0.00272,-0.01264,-0.01647,-0.00025,0.00018,-0.00016,0.51705,-0.00031,0.28006,0.00023,0.70830,-0.00022,0.70591,1,3,0.99835,0.01003,0.04905,-0.02824,0.03628,0.07465,0.81702,0,0
1769890402.849441,-0.01796,-0.02251,-0.01618,-0.00025,0.00149,0.00022,0.51705,-0.00031,0.28006,0.00023,0.70830,-0.00022,0.70591,1,3,0.99835,0.01003,0.04905,-0.02824,0.03628,0.07465,0.81702,0,0
