ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_qx,tag_qy,tag_qz,tag_qw,tag_x,tag_y,tag_z,fw_contact,ft_trigger
1769891767.256956,0.01054,0.02374,-0.00322,-0.00016,-0.00150,0.00019,0.58988,-0.00035,0.17362,0.00022,0.70827,-0.00022,0.70594,1,4,0.99960,0.00192,0.02746,-0.00636,0.05452,0.11387,0.85110,0,0
1769891767.258960,0.04132,-0.00713,-0.01497,0.00002,-0.00034,0.00083,0.58988,-0.00035,0.17362,0.00022,0.70827,-0.00022,0.70594,1,4,0.99960,0.00192,0.02746,-0.00636,0.05452,0.11387,0.85110,0,0
1769891767.260960,0.00300,-0.00370,-0.00318,0.00025,0.00002,0.00142,0.58988,-0.00035,0.17362,0.00022,0.70827,-0.00022,0.70594,1,4,0.99957,0.00190,0.02841,-0.00766,0.05450,0.11381,0.85065,0,0
1769891767.262959,0.01790,-0.00027,0.00509,-0.00014,0.00122,0.00073,0.58988,-0.00035,0.17362,0.00022,0.70827,-0.00022,0.70594,1,4,0.99957,0.00190,0.02841,-0.00766,0.05450,0.11381,0.85065,0,0
1769891767.264966,0.01042,-0.00190,0.00701,-0.00001,-0.00138,0.00050,0.58988,-0.00035,0.17362,0.00022,0.70827,-0.00022,0.70594,1,4,0.99957,0.00190,0.02841,-0.00766,0.05450,0.11381,0.85065,0,0
1769891767.266941,-0.01234,0.01061,-0.00006,-0.00044,-0.00081,-0.00003,0.58988,-0.00035,0.17362,0.00022,0.70827,-0.00022,0.70594,1,4,0.99957,0.00190,0.02841,-0.00766,0.05450,0.11381,0.85065,0,0
1769891767.268949,-0.01193,-0.00819,-0.00891,-0.00015,0.00105,-0.00018,0.58988,-0.00035,0.17362,0.00022,0.70827,-0.00022,0.70594,1,4,0.99957,0.00190,0.02841,-0.00766,0.05450,0.11381,0.85065,0,0
1769891767.270962,-0.04231,-0.00385,-0.01638,-0.00058,0.00117,-0.00010,0.58988,-0.00035,0.17362,0.00022,0.70827,-0.00022,0.70594,1,4,0.99957,0.00190,0.02841,-0.00766,0.05450,0.11381,0.85065,0,0
1769891767.272983,0.00306,-0.00409,-0.00645,-0.00041,0.00129,-0.00011,0.58988,-0.00035,0.17362,0.00022,0.70827,-0.00022,0.70594,1,4,0.99957,0.00190,0.02841,-0.00766,0.05450,0.11381,0.85065,0,0
1769891767.274974,0.01117,-0.01328,-0.00476,0.00055,-0.00262,-0.00049,0.58988,-0.00035,0.17362,0.00022,0.70827,-0.00022,0.70594,1,4,0.99957,0.00190,0.02841,-0.00766,0.05450,0.11381,0.85065,0,0
