ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_qx,tag_qy,tag_qz,tag_qw,tag_x,tag_y,tag_z,fw_contact,ft_trigger
1769891966.026200,0.03629,0.02034,-0.00383,0.00053,-0.00239,-0.00192,0.51608,-0.00031,0.18021,0.00022,0.70816,-0.00022,0.70606,1,0,0.99827,0.01195,0.04566,-0.03504,0.05807,0.05724,0.84231,0,0
1769891966.028196,0.04364,0.02501,0.00799,0.00080,-0.00312,-0.00172,0.51608,-0.00031,0.18021,0.00022,0.70816,-0.00022,0.70606,1,0,0.99826,0.01199,0.04519,-0.03603,0.05805,0.05720,0.84177,0,0
1769891966.030199,-0.00927,0.02535,-0.02309,-0.00019,0.00131,-0.00121,0.51608,-0.00031,0.18021,0.00022,0.70816,-0.00022,0.70606,1,0,0.99826,0.01199,0.04519,-0.03603,0.05805,0.05720,0.84177,0,0
1769891966.032198,0.01307,0.03312,-0.01446,-0.00005,0.00141,0.00021,0.51608,-0.00031,0.18021,0.00022,0.70816,-0.00022,0.70606,1,0,0.99826,0.01199,0.04519,-0.03603,0.05805,0.05720,0.84177,0,0
1769891966.034201,-0.00961,0.03432,-0.00826,-0.00020,0.00083,-0.00171,0.51608,-0.00031,0.18021,0.00022,0.70816,-0.00022,0.70606,1,0,0.99826,0.01199,0.04519,-0.03603,0.05805,0.05720,0.84177,0,0
1769891966.036208,0.00550,0.02075,-0.00213,0.00063,0.00069,0.00011,0.51608,-0.00031,0.18021,0.00022,0.70816,-0.00022,0.70606,1,0,0.99826,0.01199,0.04519,-0.03603,0.05805,0.05720,0.84177,0,0
1769891966.038220,0.01334,0.02082,-0.00557,0.00037,0.00130,-0.00154,0.51608,-0.00031,0.18021,0.00022,0.70816,-0.00022,0.70606,1,0,0.99826,0.01199,0.04519,-0.03603,0.05805,0.05720,0.84177,0,0
1769891966.040215,0.05923,0.02945,-0.00427,0.00094,-0.00327,-0.00202,0.51608,-0.00031,0.18021,0.00022,0.70816,-0.00022,0.70606,1,0,0.99826,0.01199,0.04519,-0.03603,0.05805,0.05720,0.84177,0,0
1769891966.042226,-0.02533,0.03840,0.00691,0.00031,-0.00007,0.00040,0.51608,-0.00031,0.18021,0.00022,0.70816,-0.00022,0.70606,1,0,0.99826,0.01199,0.04519,-0.03603,0.05805,0.05720,0.84177,0,0
1769891966.044211,-0.02475,0.03204,-0.01908,0.00006,0.00245,0.00011,0.51608,-0.00031,0.18021,0.00022,0.70816,-0.00022,0.70606,1,0,0.99826,0.01199,0.04519,-0.03603,0.05805,0.05720,0.84177,0,0
1769891966.046205,-0.00258,0.04179,0.00584,-0.00021,0.00144,-0.00080,0.51608,-0.00031,0.18021,0.00022,0.70816,-0.00022,0.70606,1,0,0.99826,0.01199,0.04519,-0.03603,0.05805,0.05720,0.84177,0,0
1769891966.048205,0.04412,0.01650,-0.01115,0.00054,-0.00270,-0.00199,0.51608,-0.00031,0.18021,0.00022,0.70816,-0.00022,0.70606,1,0,0.99826,0.01199,0.04519,-0.03603,0.05805,0.05720,0.84177,0,0
1769891966.050220,0.01294,0.02600,0.00502,0.00063,-0.00031,-0.00009,0.51608,-0.00031,0.18021,0.00022,0.70816,-0.00022,0.70606,1,0,0.99826,0.01199,0.04519,-0.03603,0.05805,0.05720,0.84177,0,0
1769891966.052206,-0.02387,0.03760,-0.03608,0.00073,0.00115,-0.00108,0.51608,-0.00031,0.18021,0.00022,0.70816,-0.00022,0.70606,1,0,0.99826,0.01199,0.04519,-0.03603,0.05805,0.05720,0.84177,0,0
1769891966.054936,-0.00238,0.03832,0.00311,0.00007,0.00054,-0.00075,0.51608,-0.00031,0.18021,0.00022,0.70816,-0.00022,0.70606,1,0,0.99826,0.01199,0.04519,-0.03603,0.05805,0.05720,0.84177,0,0
1769891966.056207,-0.01762,0.02846,0.00340,0.00006,0.00185,-0.00037,0.51608,-0.00031,0.18021,0.00022,0.70816,-0.00022,0.70606,1,0,0.99826,0.01199,0.04519,-0.03603,0.05805,0.05720,0.84177,0,0
1769891966.058224,0.02878,0.03284,-0.00183,0.00105,-0.00258,-0.00193,0.51608,-0.00031,0.18021,0.00022,0.70816,-0.00022,0.70606,1,0,0.99826,0.01199,0.04519,-0.03603,0.05805,0.05720,0.84177,0,0
1769891966.060251,-0.02544,0.04272,0.01485,0.00031,0.00002,-0.00042,0.51608,-0.00031,0.18021,0.00022,0.70816,-0.00022,0.70606,1,0,0.99826,0.01199,0.04519,-0.03603,0.05805,0.05720,0.84177,0,0
1769891966.062234,0.00526,0.04774,-0.00199,-0.00020,-0.00018,-0.00099,0.51608,-0.00031,0.18021,0.00022,0.70816,-0.00022,0.70606,1,0,0.99826,0.01199,0.04519,-0.03603,0.05805,0.05720,0.84177,0,0
1769891966.064238,0.02865,0.02854,-0.00399,0.00051,-0.00217,-0.00189,0.51608,-0.00031,0.18021,0.00022,0.70816,-0.00022,0.70606,1,0,0.99826,0.01199,0.04519,-0.03603,0.05805,0.05720,0.84177,0,0
1769891966.066223,-0.00992,0.03740,0.00389,0.00006,0.00164,-0.00137,0.51608,-0.00031,0.18021,0.00022,0.70816,-0.00022,0.70606,1,0,0.99826,0.01199,0.04519,-0.03603,0.05805,0.05720,0.84177,0,0
1769891966.068220,-0.01006,0.01648,0.00638,-0.00019,0.00145,-0.00074,0.51608,-0.00031,0.18021,0.00022,0.70816,-0.00022,0.70606,1,0,0.99826,0.01199,0.04519,-0.03603,0.05805,0.05720,0.84177,0,0
1769891966.070216,-0.02473,0.03347,-0.01356,-0.00008,0.00143,-0.00106,0.51608,-0.00031,0.18021,0.00022,0.70816,-0.00022,0.70606,1,0,0.99826,0.01199,0.04519,-0.03603,0.05805,0.05720,0.84177,0,0
1769891966.072214,0.05115,0.01736,-0.00946,0.00027,0.00016,0.00015,0.51608,-0.00031,0.18021,0.00022,0.70816,-0.00022,0.70606,1,0,0.99826,0.01199,0.04519,-0.03603,0.05805,0.05720,0.84177,0,0
