object,n_safety,n_files,n_pushes_total,m_est_mean_kg,zc_est_mean_m,theta_star_est_mean_deg,m_gt_kg,zc_gt_m,theta_star_gt_deg,m_err_kg,zc_err_m,theta_star_err_deg,m_err_pct,zc_err_pct,theta_star_err_pct
box,0.1,1,2,0.6595,0.1425,17.595,0.664,0.14624,17.15750029588795,-0.0045000000000000595,-0.003740000000000021,0.4374997041120494,0.677710843373503,2.55743982494531,2.549903520718008
box,0.5,1,2,0.661,0.149,16.85,0.664,0.14624,17.15750029588795,-0.0030000000000000027,0.0027599999999999847,-0.307500295887948,0.45180722891566305,1.8873085339168385,1.7922208397784207
box,0.65,1,2,0.659,0.157,16.06,0.664,0.14624,17.15750029588795,-0.0050000000000000044,0.010759999999999992,-1.0975002958879507,0.7530120481927717,7.3577680525164055,6.396621168358558
flashlight,0.1,1,1,0.565,0.087,14.74,0.387,0.09656,13.397845602259254,0.17799999999999994,-0.009560000000000013,1.342154397740746,45.99483204134365,9.900579950289988,10.017688198425132
flashlight,0.5,1,2,0.377,0.0875,14.775,0.387,0.09656,13.397845602259254,-0.010000000000000009,-0.009060000000000012,1.377154397740746,2.583979328165377,9.382767191383609,10.278924228747039
flashlight,0.65,1,2,0.3725,0.07100000000000001,18.19,0.387,0.09656,13.397845602259254,-0.014500000000000013,-0.02556,4.792154397740747,3.7467700258397967,26.470588235294116,35.76809690158434
heart,0.1,1,2,0.238,0.10250000000000001,23.045,0.236,0.098,23.954894093987317,0.0020000000000000018,0.004500000000000004,-0.9098940939873152,0.8474576271186449,4.5918367346938815,3.798364085507265
heart,0.5,1,2,0.2265,0.118,20.34,0.236,0.098,23.954894093987317,-0.00949999999999998,0.01999999999999999,-3.614894093987317,4.025423728813552,20.40816326530611,15.090419852428637
heart,0.65,1,2,0.20750000000000002,0.107,22.15,0.236,0.098,23.954894093987317,-0.02849999999999997,0.008999999999999994,-1.8048940939873184,12.076271186440666,9.183673469387749,7.53455259249235
monitor,0.1,1,2,7.661,0.238,14.614999999999998,5.008,0.2516,13.858211912721083,2.6529999999999996,-0.013600000000000001,0.756788087278915,52.97523961661341,5.405405405405406,5.4609360287255
monitor,0.5,1,2,4.851,0.23349999999999999,14.895,5.008,0.2516,13.858211912721083,-0.15700000000000003,-0.018100000000000005,1.0367880872789161,3.134984025559106,7.193958664546902,7.481398710083233
monitor,0.65,1,2,4.830500000000001,0.2285,15.23,5.008,0.2516,13.858211912721083,-0.17749999999999932,-0.02309999999999998,1.371788087278917,3.5443290734824147,9.181240063592998,9.898737989564802
