ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_roll(rad),tag_pitch(rad),tag_yaw(rad),tag_tx(m),tag_ty(m),tag_tz(m),tag_qx,tag_qy,tag_qz,tag_qw
1762457095.189846,-0.000307867,0.019542447,-0.002803613,0.000501073,-0.001212693,-0.000734787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.974783256,-0.008349334,0.026557768,0.000061984,-0.015802458,0.559569870,0.996422686,0.013579972,0.003053581,-0.083355204
1762457095.225566,-0.015781867,0.012889447,0.005107387,0.000488073,0.001067307,-0.000406787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.975346579,-0.002920358,0.026982664,0.000059925,-0.015811048,0.559660430,0.996453879,0.013565552,0.000334890,-0.083039335
1762457095.255478,-0.016444867,0.047723447,0.018959387,0.000046073,0.000145307,-0.000463787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.976307587,-0.006506140,0.026979276,0.000059545,-0.015800883,0.559585087,0.996487481,0.013711631,0.002128157,-0.082584278
1762457095.324559,0.021828133,0.008723447,0.017471387,0.000383073,0.000999307,-0.000244787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.975300448,-0.005811350,0.027088109,0.000063334,-0.015807242,0.559716223,0.996446476,0.013738090,0.001770568,-0.083081584
1762457095.364117,-0.015794867,0.031317447,-0.005519613,-0.000064927,-0.000152693,-0.000247787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.976483282,-0.005858096,0.027093435,0.000057190,-0.015805800,0.559672451,0.996495307,0.013741620,0.001801764,-0.082492568
1762457095.428728,0.006583133,0.006449447,0.014808387,-0.000161927,-0.000564693,-0.000348787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.975954617,-0.005806339,0.026977322,0.000063646,-0.015808497,0.559680544,0.996474367,0.013682105,0.001777149,-0.082755525
1762457095.466573,-0.000532867,-0.001428553,-0.004630613,-0.000421927,-0.000801693,-0.000495787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.976978623,-0.007576267,0.026718327,0.000063888,-0.015809518,0.559673468,0.996514449,0.013624857,0.002676692,-0.082256623
1762457095.528195,-0.000781867,0.004360447,0.014961387,0.000639073,0.000968307,-0.000183787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.976229989,-0.003959933,0.027029743,0.000059974,-0.015807751,0.559701715,0.996488670,0.013631771,0.000856903,-0.082606123
1762457095.565942,-0.000246867,0.004547447,-0.009983613,0.000511073,0.000884307,0.000212213,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.976553237,-0.005540868,0.026873183,0.000062474,-0.015809120,0.559629253,0.996500326,0.013618750,0.001653266,-0.082455428
1762457095.604635,-0.023534867,0.027026447,0.002148387,-0.000067927,-0.000060693,-0.000455787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.975547039,-0.007849018,0.027104565,0.000064961,-0.015807795,0.559631884,0.996451987,0.013830504,0.002786809,-0.082972211
1762457095.668462,0.014629133,0.021873447,0.000172387,0.000236073,0.000790307,-0.000644787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.974872766,-0.006122457,0.026895895,0.000062562,-0.015807047,0.559548776,0.996429367,0.013655649,0.001930635,-0.083296538
1762457095.705005,-0.023711867,0.031380447,0.004624387,-0.000342927,-0.000030693,-0.000514787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.975803836,-0.008051362,0.026571068,0.000061875,-0.015810277,0.559616987,0.996465774,0.013572712,0.002911499,-0.082844827
1762457095.740693,-0.008001867,0.014327447,-0.010438613,0.000093073,-0.000213693,0.000216213,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.975591476,-0.006861460,0.026981199,0.000061198,-0.015810188,0.559676518,0.996457044,0.013728070,0.002300200,-0.082943412
1762457095.808322,0.030039133,-0.011122553,0.000968387,0.000283073,0.000141307,-0.000882787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.975220427,-0.005200420,0.027250447,0.000063781,-0.015803376,0.559654184,0.996443217,0.013793674,0.001458891,-0.083117517
1762457095.845244,0.007180133,0.015506447,-0.004923613,-0.000026927,-0.001020693,-0.000820787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.973909669,-0.002791503,0.027430208,0.000063185,-0.015800724,0.559612261,0.996391067,0.013783360,0.000242207,-0.083754419
1762457095.910669,-0.000361867,0.017771447,-0.002293613,0.000499073,0.000541307,-0.000714787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.977229965,-0.005725439,0.026814879,0.000064499,-0.015814169,0.559687766,0.996528204,0.013596710,0.001752234,-0.082119407
1762457095.950655,0.014683133,0.012324447,0.009755387,0.001183073,0.001125307,-0.000141787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.976342009,-0.006145423,0.026872895,0.000068507,-0.015813227,0.559727122,0.996490398,0.013643714,0.001953058,-0.082564646
1762457096.014333,-0.016357867,0.035411447,0.011809387,-0.000343927,0.000057307,-0.000315787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.977297358,-0.007089163,0.026732303,0.000064470,-0.015805411,0.559650610,0.996528607,0.013611422,0.002435581,-0.082094658
