object,n_safety,phase,m_est_kg,zc_est_m,theta_star_est_deg,m_error_pct,zc_error_pct,theta_star_error_pct,weight
box,0.1,push,0.622,0.147,17.435,5.532,0.596,0.557,0.25
box,0.1,retract,0.66,0.145,17.7,0.297,1.01,0.957,0.25
box,0.1,weighted_avg,0.641,0.146,17.566,2.618,0.207,0.195,0.5
,,,,,,,,,
box,0.5,push,0.628,0.15,17.107,4.504,2.646,2.426,0.25
box,0.5,retract,0.667,0.149,17.242,1.357,1.795,1.658,0.25
box,0.5,weighted_avg,0.648,0.149,17.174,1.574,2.22,2.043,0.5
,,,,,,,,,
box,0.65,push,0.625,0.15,17.085,5.009,2.787,2.552,0.25
box,0.65,retract,0.661,0.149,17.232,0.503,1.857,1.714,0.25
box,0.65,weighted_avg,0.643,0.15,17.158,2.253,2.322,2.135,0.5
,,,,,,,,,
