object,n_safety,phase,m_est_kg,zc_est_m,theta_star_est_deg,m_error_pct,zc_error_pct,theta_star_error_pct,weight
flashlight,0.1,push,0.319,0.096,15.266,4.977,0.965,0.929,0.25
flashlight,0.1,weighted_avg,0.319,0.096,15.266,4.977,0.965,0.929,0.5
,,,,,,,,,
flashlight,0.5,push,0.324,0.099,14.759,3.618,2.599,2.421,0.25
flashlight,0.5,retract,0.368,0.103,14.278,9.418,6.215,5.605,0.25
flashlight,0.5,weighted_avg,0.346,0.101,14.515,2.9,4.407,4.039,0.5
,,,,,,,,,
flashlight,0.65,push,0.346,0.098,14.849,3.12,1.949,1.827,0.25
flashlight,0.65,retract,0.395,0.125,11.796,17.474,29.435,22.016,0.25
flashlight,0.65,weighted_avg,0.371,0.112,13.15,10.297,15.692,13.058,0.5
,,,,,,,,,
