object,n_safety,phase,m_est_kg,zc_est_m,theta_star_est_deg,m_error_pct,zc_error_pct,theta_star_error_pct,weight
heart,0.1,push,0.205,0.101,23.398,6.437,2.818,2.443,0.25
heart,0.1,retract,0.227,0.099,23.799,3.458,0.878,0.773,0.25
heart,0.1,weighted_avg,0.216,0.1,23.597,1.489,1.848,1.615,0.5
,,,,,,,,,
heart,0.5,push,0.207,0.099,23.81,5.484,0.826,0.728,0.25
heart,0.5,retract,0.233,0.108,21.963,6.168,10.323,8.429,0.25
heart,0.5,weighted_avg,0.22,0.103,22.851,0.342,5.575,4.725,0.5
,,,,,,,,,
heart,0.65,push,0.213,0.109,21.816,2.562,11.143,9.04,0.25
heart,0.65,retract,0.236,0.115,20.768,7.637,17.316,13.409,0.25
heart,0.65,weighted_avg,0.225,0.112,21.28,2.537,14.23,11.276,0.5
,,,,,,,,,
