object,n_safety,phase,m_est_kg,zc_est_m,theta_star_est_deg,m_error_pct,zc_error_pct,theta_star_error_pct,weight
monitor,0.1,push,4.946,0.225,15.163,1.858,2.867,2.817,0.25
monitor,0.1,retract,5.12,0.228,15.016,1.584,1.869,1.819,0.25
monitor,0.1,weighted_avg,5.033,0.227,15.089,0.137,2.368,2.316,0.5
,,,,,,,,,
monitor,0.5,push,4.91,0.223,15.337,2.576,4.019,3.994,0.25
monitor,0.5,retract,5.083,0.226,15.106,0.86,2.48,2.428,0.25
monitor,0.5,weighted_avg,4.997,0.224,15.22,0.858,3.249,3.205,0.5
,,,,,,,,,
monitor,0.65,push,4.87,0.217,15.752,3.371,6.679,6.813,0.25
monitor,0.65,retract,5.007,0.214,15.956,0.652,7.935,8.197,0.25
monitor,0.65,weighted_avg,4.939,0.215,15.854,2.011,7.307,7.5,0.5
,,,,,,,,,
