object,n_safety,n_files,n_pushes_total,m_est_mean_kg,zc_est_mean_m,theta_star_est_mean_deg,m_est_push1_kg,zc_est_push1_m,theta_star_est_push1_deg,m_est_push2_kg,zc_est_push2_m,theta_star_est_push2_deg,m_gt_kg,zc_gt_m,theta_star_gt_deg,m_err_kg,m_err_pct,zc_err_m,zc_err_pct,theta_star_err_deg,theta_star_err_pct,m_err_pct_push1,zc_err_pct_push1,theta_star_err_pct_push1,m_err_pct_push2,zc_err_pct_push2,theta_star_err_pct_push2
box,0.1,1,2,0.6595,0.1425,17.595,0.657,0.143,17.57,0.662,0.142,17.62,0.664,0.14624,17.15750029588795,-0.0045000000000000595,0.677710843373503,-0.003740000000000021,2.55743982494531,0.4374997041120494,2.549903520718008,1.0542168674698804,2.215536105032837,2.4041946495604174,0.3012048192771087,2.8993435448577825,2.6956123918756187
box,0.5,1,2,0.661,0.149,16.85,0.662,0.147,17.09,0.66,0.151,16.61,0.664,0.14624,17.15750029588795,-0.0030000000000000027,0.45180722891566305,0.0027599999999999847,1.8873085339168385,-0.307500295887948,1.7922208397784207,0.3012048192771087,0.5196936542669467,0.39341567666548166,0.6024096385542174,3.25492341356673,3.1910260028913804
box,0.65,1,2,0.659,0.157,16.06,0.667,0.154,16.34,0.651,0.16,15.78,0.664,0.14624,17.15750029588795,-0.0050000000000000044,0.7530120481927717,0.010759999999999992,7.3577680525164055,-1.0975002958879507,6.396621168358558,0.45180722891566305,5.306345733041567,4.764681811393444,1.9578313253012065,9.409190371991244,8.028560525323659
flashlight,0.1,1,1,0.565,0.087,14.74,0.565,0.087,14.74,,,,0.387,0.09656,13.397845602259254,0.17799999999999994,45.99483204134365,-0.009560000000000013,9.900579950289988,1.342154397740746,10.017688198425132,45.99483204134365,9.900579950289988,10.017688198425132,,,
flashlight,0.5,1,2,0.377,0.0875,14.775,0.373,0.086,14.99,0.381,0.089,14.56,0.387,0.09656,13.397845602259254,-0.010000000000000009,2.583979328165377,-0.009060000000000012,9.382767191383609,1.377154397740746,10.278924228747039,3.6175710594315276,10.936205468102747,11.883659843581595,1.5503875968992262,7.829328914664468,8.67418861391248
flashlight,0.65,1,2,0.3725,0.07100000000000001,18.19,0.388,0.081,15.78,0.357,0.061,20.6,0.387,0.09656,13.397845602259254,-0.014500000000000013,3.7467700258397967,-0.02556,26.470588235294116,4.792154397740747,35.76809690158434,0.25839793281653767,16.114333057166533,17.78013024227602,7.751937984496131,36.82684341342171,53.75606356089266
heart,0.1,1,2,0.238,0.10250000000000001,23.045,0.218,0.1,23.57,0.258,0.105,22.52,0.236,0.098,23.954894093987317,0.0020000000000000018,0.8474576271186449,0.004500000000000004,4.5918367346938815,-0.9098940939873152,3.798364085507265,7.627118644067792,2.040816326530614,1.6067451288959158,9.322033898305094,7.142857142857135,5.989983042118629
heart,0.5,1,2,0.2265,0.118,20.34,0.224,0.109,21.69,0.229,0.127,18.99,0.236,0.098,23.954894093987317,-0.00949999999999998,4.025423728813552,0.01999999999999999,20.40816326530611,-3.614894093987317,15.090419852428637,5.084745762711858,11.224489795918362,9.454828249713717,2.9661016949152454,29.591836734693874,20.726011455143556
heart,0.65,1,2,0.20750000000000002,0.107,22.15,0.214,0.112,21.22,0.201,0.102,23.08,0.236,0.098,23.954894093987317,-0.02849999999999997,12.076271186440666,0.008999999999999994,9.183673469387749,-1.8048940939873184,7.53455259249235,9.322033898305083,14.285714285714285,11.416849029918179,14.830508474576261,4.081632653061214,3.6522561550665227
monitor,0.1,1,2,7.661,0.238,14.614999999999998,4.886,0.231,15.03,10.436,0.245,14.2,5.008,0.2516,13.858211912721083,2.6529999999999996,52.97523961661341,-0.013600000000000001,5.405405405405406,0.756788087278915,5.4609360287255,2.436102236421723,8.187599364069944,8.455550360023564,108.38658146964855,2.6232114467408567,2.466321697427451
monitor,0.5,1,2,4.851,0.23349999999999999,14.895,4.884,0.23,15.09,4.818,0.237,14.7,5.008,0.2516,13.858211912721083,-0.15700000000000003,3.134984025559106,-0.018100000000000005,7.193958664546902,1.0367880872789161,7.481398710083233,2.47603833865814,8.585055643879166,8.888506648885937,3.7939297124600717,5.802861685214627,6.07429077128053
monitor,0.65,1,2,4.830500000000001,0.2285,15.23,4.833,0.224,15.51,4.828,0.233,14.95,5.008,0.2516,13.858211912721083,-0.17749999999999932,3.5443290734824147,-0.02309999999999998,9.181240063592998,1.371788087278917,9.898737989564802,3.494408945686897,10.969793322734494,11.919200670922523,3.5942492012779494,7.392686804451501,7.87827530820707
